id,total_validators,p_active_slots,p_created_blocks,non_empty_block,empty_block,vanilla_blocks,a_active_epochs,a_attested_epochs,a_attested_source,a_attested_target,a_attested_head,inc_distance,sync_rate,block_reward,validation_reward,total_reward,proposal_effectiveness,correctness,attestation_rate,att_effectiveness,effectiveness,partition_date
ParaFi Technologies LLC,5857,63,63,62,0,1,1301027,1300910,1300621,1300364.0,1289851,1.0107184802125093,99.58322122666662,4.513048447237947,16.293987617999694,20.807036065237483,0.9841269841269841,0.9968627348497251,0.9999100710438753,0.9862024960847685,0.9854241791005993,2024-01-19
BridgeTower,8939,77,77,77,0,2,2011275,2008270,2007167,2006187.0,1957159,1.035968990860448,93.86771182,8.784430475625628,23.827866969000112,32.61229744462127,1.0,0.9895071534225802,0.9985059228598775,0.9537242544142502,0.9710776590089064,2024-01-19
Numic,5857,39,39,39,0,0,1301276,1300930,1300818,1299652.0,1281591,1.0122196478042518,98.02443224592592,3.9189053345366354,15.105001267999656,19.023906602536247,1.0,0.9944241908198824,0.9997341071379169,0.9821581537981728,0.988848846123858,2024-01-19
Sigma Prime,10001,57,57,57,0,36,2250225,2249916,2248834,2247540.0,2211472,1.0151016814852634,97.79302920444444,5.057122176277162,26.115321474999554,31.172443651276726,1.0,0.9936555974032226,0.9998626803986268,0.9787385511557822,0.9867115944723639,2024-01-19
Prysm Team at Offchain Labs,10001,79,79,79,0,1,2250225,2250218,2249690,2248001.0,2225850,1.0103420769034208,99.38850050666667,8.92192077614431,26.692822584999664,35.61474336114411,1.0,0.9959805500931388,0.9999968891999689,0.9857824142585112,0.9911140089115695,2024-01-19
RockX,8916,70,70,69,0,1,2006100,2002479,2005453,2004761.0,1987300,1.010411863322733,99.19950208592586,7.126157649910892,23.477931208000197,30.604088857906355,0.9857142857142858,0.9965462007543658,0.9981950052340361,0.9844969919560745,0.9849534771154037,2024-01-19
Everstake,8940,82,82,81,0,4,2011500,2010206,2010132,2009334.0,1985820,1.0120240760016288,99.26850843259267,7.017404481769865,24.06542308300012,31.082827564765626,0.9878048780487805,0.995158836689038,0.9993566989808601,0.9827025597300012,0.9846159290995433,2024-01-19
Ebunker,6000,52,52,51,0,0,1350000,1349982,1349676,1349495.0,1337315,1.010014814814815,99.56717437333336,17.91496419578391,15.906525516999741,33.82148971278357,0.9807692307692307,0.9966632098765432,0.9999866666666667,0.9867676259941589,0.9845182277848108,2024-01-19
Blockscape,8830,87,87,87,0,0,1986750,1986117,1985841,1986026.0,1964604,1.013038477703367,99.40868417777777,6.316009649275282,24.214788338000165,30.530797987270955,1.0,0.9960104022482278,0.999681389203473,0.9828778318844592,0.989298644927787,2024-01-19
Stakely,10001,89,89,89,0,1,2250225,2249874,2249377,2248785.0,2228095,1.0116699856058329,99.58823167407402,6.808915154479671,26.814838814000094,33.623753968475356,1.0,0.9963828802304955,0.9998440155984402,0.9847356096529968,0.990459756033123,2024-01-19
Kiln,8809,62,62,62,0,1,1982025,1981226,1981336,1981302.0,1959411,1.011836552646927,99.28276574399999,8.022212257419739,23.232464712000176,31.254676969415275,1.0,0.9959593513368062,0.9995968769314212,0.9839117341062378,0.9899448338163986,2024-01-19
RockLogic GmbH,8558,64,64,64,0,0,1925550,1923921,1923370,1922695.0,1885439,1.023730125137303,98.47396439703701,4.727434326033692,22.35021855599954,27.077652882033217,1.0,0.9921847437528671,0.9991540079457817,0.9683659189089273,0.9802286993180795,2024-01-19
